"filename", "language", "Properties", "YAML", "Dart", "Groovy", "Swift", "C++", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\employee.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 4, 11
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\event.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\manager.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\notification.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\room.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\section.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\user.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 3, 31
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\authenticate.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\loading.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\login.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 1, 84
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\register.dart", "Dart", 0, 0, 152, 0, 0, 0, 0, 0, 0, 11, 4, 167
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\signin.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 6, 5, 113
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\test.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\calendar.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 1, 28
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\home.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\management.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\profile.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\restaurant.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 1, 98
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\rooms.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 1, 95
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\staff.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 1, 82
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\staffprofile.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\viewevent.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\viewsections.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 1, 45
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\wrapper.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 3, 30
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\services\auth.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 7, 48
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\pubspec.yaml", "YAML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 31, 16, 72
"Total", "-", 10, 25, 1806, 94, 12, 1, 102, 185, 5, 184, 173, 2597
